Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sweep4	Sweep5	Sweep6	Sweep7	Sweep8	Sweep9	Sum
2355.00048828,648.678344727;604.220153809 608.92578125	641.68951416	641.114196777	587.211791992	577.433044434	588.270874023	587.603271484	613.715576172	6098.86254883	
2355.05053711	612.761474609	593.652954102	635.05255127	610.433288574	621.038696289	603.340820312	589.178222656	578.227905273	636.09777832	613.894104004	6093.67779541	
2355.10058594	557.131835938	605.908813477	634.281005859	673.313293457	607.492370605	648.376647949	616.382995605	612.327209473	624.17779541	638.159790039	6217.55175781	
2355.15039062	568.532287598	675.448059082	616.454223633	632.458251953	626.577453613	621.471496582	620.798278809	621.436950684	612.985839844	596.773193359	6192.93603516	
2355.20043945	594.146057129	617.105957031	602.07623291	647.180786133	594.822937012	596.720947266	646.496765137	626.331115723	584.885925293	611.874450684	6121.64117432	
2355.25048828	626.322753906	631.466369629	584.936462402	605.731445312	599.018554688	629.381835938	600.166137695	601.831176758	621.604553223	601.148193359	6101.60748291	
2355.30053711	619.859741211	611.735900879	626.216003418	595.155212402	628.055786133	622.257202148	617.42767334	597.349121094	627.055969238	613.330322266	6158.44293213	
2355.35058594	642.483703613	622.341186523	603.400085449	655.865722656	577.625427246	639.025146484	607.047973633	629.823364258	609.605163574	617.200866699	6204.41864014	
2355.40039062	599.591308594	640.073303223	576.075134277	659.91418457	578.739624023	590.200317383	586.573852539	606.921691895	639.194396973	610.320556641	6087.60437012	
2355.45043945	605.701477051	604.249389648	597.673828125	619.304199219	610.790222168	574.744445801	616.364318848	614.41796875	668.328857422	629.458435059	6141.03314209	
2355.50048828	580.426391602	613.727050781	615.852050781	604.878051758	638.606811523	624.45916748	617.27166748	634.374389648	663.174194336	620.235412598	6213.00518799	
2355.55053711	620.44909668	606.326843262	622.362792969	597.525817871	632.295959473	596.334106445	589.44128418	586.097595215	632.88092041	649.986022949	6133.70043945	
2355.60058594	611.02154541	625.972351074	583.672790527	583.707458496	603.340209961	616.34588623	622.495300293	586.745483398	627.272888184	602.132324219	6062.70623779	
2355.65039062	585.770874023	612.368774414	578.824157715	607.325012207	624.111328125	647.793762207	612.989929199	603.268371582	604.972290039	618.655700684	6096.0802002	
2355.70043945	608.576171875	619.072387695	634.230285645	613.414428711	611.649658203	623.68347168	632.304260254	613.203430176	602.145385742	622.544311523	6180.8237915	
2355.75048828	610.162963867	617.934692383	632.554077148	613.560424805	607.815551758	597.169799805	627.438293457	609.747375488	588.743469238	605.489685059	6110.61633301	
2355.80053711	604.73651123	610.282653809	586.791503906	624.355712891	615.213256836	605.241760254	591.269470215	588.406188965	573.192321777	662.465332031	6061.95471191	
2355.85058594	613.161010742	601.972045898	646.667358398	613.467651367	618.46862793	646.469055176	592.144470215	604.345092773	621.26184082	626.337036133	6184.29418945	
2355.90039062	601.316162109	606.872497559	604.470947266	597.322875977	602.882385254	596.931091309	589.214294434	585.018981934	643.786804199	642.202636719	6070.01867676	
2355.95043945	647.69732666	612.894714355	605.152648926	615.451965332	631.774047852	597.289367676	584.084838867	584.104187012	564.407104492	629.363525391	6072.21972656	
2356.00048828	599.124755859	583.669006348	633.932006836	605.860351562	589.315246582	594.777038574	599.357788086	587.163635254	576.581848145	594.288085938	5964.06976318	
2356.05053711	617.254760742	577.234130859	639.020202637	554.005615234	630.16986084	616.018127441	635.948669434	613.777832031	618.931945801	622.192687988	6124.55383301	
2356.10058594	591.668334961	598.293945312	621.151489258	602.330444336	627.573425293	612.985412598	611.197937012	601.886108398	588.422546387	603.32800293	6058.83764648	
2356.15039062	595.597900391	604.960449219	579.366027832	598.771118164	584.543762207	604.828979492	618.963684082	569.875061035	610.222900391	623.127258301	5990.25714111	
2356.20043945	600.922180176	650.154663086	595.243713379	602.149658203	627.534973145	636.248901367	597.280151367	612.727478027	604.74206543	640.251037598	6167.25482178	
2356.25048828	593.131835938	613.35534668	604.108886719	631.258239746	617.674682617	643.430664062	638.938415527	595.14050293	627.732788086	580.270202637	6145.04156494	
2356.30053711	632.398681641	631.625549316	621.190490723	591.675964355	630.508422852	603.243713379	622.06463623	624.956115723	589.363647461	616.989501953	6164.01672363	
2356.35058594	606.764465332	607.567810059	633.512268066	630.613098145	692.6328125	565.119873047	645.376159668	634.564208984	613.776062012	630.169372559	6260.09613037	
2356.40039062	594.268005371	586.157226562	591.743896484	591.050109863	607.060241699	575.243591309	628.131408691	633.967712402	576.571716309	627.370117188	6011.56402588	
2356.45043945	652.971984863	591.13659668	585.089599609	594.893920898	594.321289062	585.946289062	641.867248535	616.450012207	583.061462402	645.485107422	6091.22351074	
2356.50048828	604.03515625	592.789245605	596.943115234	602.791748047	581.186340332	582.665527344	610.043823242	627.138305664	581.845092773	561.703918457	5941.14227295	
2356.55053711	589.555541992	605.140563965	587.423522949	617.766723633	592.925170898	597.14239502	568.862426758	642.041442871	618.090942383	584.708251953	6003.65698242	
2356.60058594	594.222229004	592.368164062	620.805114746	649.002441406	614.260681152	607.81829834	648.200683594	640.519165039	640.447021484	604.542663574	6212.1864624	
2356.65039062	606.688720703	558.389038086	612.569885254	581.933776855	592.272521973	579.835388184	596.54486084	608.026367188	644.138427734	624.402099609	6004.80108643	
2356.70043945	570.234436035	617.586364746	607.593322754	638.662414551	587.88482666	602.26550293	607.783508301	595.96673584	616.108520508	633.203674316	6077.28930664	
2356.75048828	633.916137695	626.060241699	612.578857422	601.400146484	549.399291992	635.622802734	604.254882812	573.874023438	605.523986816	621.57208252	6064.20245361	
