Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sum
2257.6003418	1700.38916016	1679.75891113	1700.10217285	1705.01013184	6785.26037598	
2257.65039062	1678.40002441	1666.11901855	1668.4050293	1734.50195312	6747.42602539	
2257.70019531	1686.65856934	1693.59350586	1625.76086426	1672.13769531	6678.15063477	
2257.75024414	1664.375	1651.57739258	1660.70471191	1692.40466309	6669.06176758	
2257.80029297	1719.0880127	1700.26025391	1657.59606934	1646.05786133	6723.00219727	
2257.8503418	1657.61291504	1717.06860352	1744.96118164	1715.39221191	6835.03491211	
2257.90039062	1640.8392334	1694.57861328	1706.06884766	1717.39611816	6758.8828125	
2257.95019531	1682.02478027	1618.96337891	1704.75830078	1713.40161133	6719.14807129	
2258.00024414	1647.30200195	1678.70117188	1712.52282715	1689.54699707	6728.07299805	
2258.05029297	1671.06225586	1638.51635742	1698.6048584	1669.26013184	6677.44360352	
2258.1003418	1677.22167969	1720.22973633	1648.12219238	1653.39770508	6698.97131348	
2258.15039062	1685.69836426	1675.24414062	1649.46496582	1641.53076172	6651.93823242	
2258.20019531	1647.21398926	1701.2277832	1704.11853027	1703.38549805	6755.94580078	
2258.25024414	1699.12695312	1697.81958008	1737.56152344	1640.17993164	6774.68798828	
2258.30029297	1687.62402344	1722.86071777	1692.83947754	1685.0045166	6788.32873535	
2258.3503418	1720.59472656	1768.00378418	1617.73339844	1687.76953125	6794.10144043	
2258.40039062	1756.65722656	1673.31835938	1697.27392578	1709.7322998	6836.98181152	
2258.45019531	1699.37304688	1741.84375	1666.42736816	1732.08984375	6839.73400879	
2258.50024414	1756.39343262	1769.953125	1753.55224609	1670.90075684	6950.79956055	
2258.55029297	1759.04125977	1802.03930664	1755.50720215	1723.56152344	7040.14929199	
2258.6003418	1620.0234375	1748.31787109	1681.8013916	1672.20996094	6722.35266113	
2258.65039062	1759.3449707	1722.94494629	1734.10119629	1800.37463379	7016.76574707	
2258.70019531	1701.72912598	1689.51586914	1744.02770996	1742.09484863	6877.36755371	
2258.75024414	1710.24157715	1720.92797852	1696.45288086	1789.21130371	6916.83374023	
2258.80029297	1674.83825684	1760.06616211	1767.50048828	1766.28198242	6968.68688965	
2258.8503418	1741.40429688	1729.19262695	1810.4588623	1749.6796875	7030.73547363	
2258.90039062	1758.85852051	1728.36083984	1819.31066895	1782.86181641	7089.3918457	
2258.95019531	1767.73840332	1738.7845459	1827.82226562	1907.9576416	7242.30285645	
2259.00024414	1812.13098145	1854.84777832	1743.10388184	1874.68139648	7284.76403809	
2259.05029297	1822.25561523	1812.35314941	1758.9107666	1832.15661621	7225.67614746	
2259.1003418	1857.53588867	1817.4753418	1837.94763184	1886.7713623	7399.73022461	
2259.15039062	1863.0838623	1840.86608887	1844.5222168	1898.51135254	7446.98352051	
2259.20019531	1914.01281738	1802.20007324	1951.67150879	1876.16003418	7544.04443359	
2259.25024414	1820.12817383	1853.76318359	1876.8392334	1870.37036133	7421.10095215	
2259.30029297	1939.64904785	1926.88391113	1900.94165039	1887.35253906	7654.82714844	
2259.3503418	1956.19592285	1945.89819336	1938.5892334	1877.0970459	7717.78039551	
2259.40039062	1943.54626465	1970.17736816	1954.89868164	2032.2677002	7900.89001465	
2259.45019531	1934.68139648	1954.12097168	1965.42431641	2098.02099609	7952.24768066	
2259.50024414	2031.38391113	2000.19641113	2003.95776367	1977.53210449	8013.07019043	
2259.55029297	2048.75537109	1954.93017578	1988.65270996	1954.24377441	7946.58203125	
2259.6003418	1990.74658203	2031.97839355	2088.23950195	2059.42944336	8170.3939209	
2259.65039062	2027.90234375	2042.6184082	2216.13696289	2068.89477539	8355.55249023	
2259.70019531	2040.05444336	2050.80395508	2130.3894043	2077.03930664	8298.28710938	
2259.75024414	2102.33349609	2188.18579102	2106.57177734	2165.08349609	8562.17456055	
2259.80029297	2152.44140625	2178.828125	2140.78588867	2165.46679688	8637.5222168	
2259.8503418	2157.89282227	2112.81103516	2179.39624023	2138.24316406	8588.34326172	
2259.90039062	2201.01855469	2169.0378418	2279.9753418	2157.1706543	8807.20239258	
2259.95019531	2200.39624023	2235.84082031	2231.08154297	2184.21704102	8851.53564453	
2260.00024414	2258.02661133	2279.62792969	2308.04003906	2202.04931641	9047.74389648	
