Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sum
2271.15039062	958.99230957	915.381530762	948.46105957	934.200561523	3757.03546143	
2271.20019531	900.964294434	912.475891113	897.852172852	917.330566406	3628.6229248	
2271.25024414	863.580566406	863.291931152	840.078735352	854.162719727	3421.11395264	
2271.30029297	820.649719238	779.037780762	809.396911621	830.643127441	3239.72753906	
2271.3503418	755.548583984	799.367797852	795.245849609	786.738647461	3136.90087891	
2271.40039062	661.541503906	743.608886719	768.007141113	778.172851562	2951.3303833	
2271.45019531	710.226318359	716.449279785	728.244018555	746.043457031	2900.96307373	
2271.50024414	679.198913574	670.147094727	687.985168457	692.750244141	2730.0814209	
2271.55029297	714.103149414	697.904907227	650.085754395	723.174072266	2785.2678833	
2271.6003418	717.91217041	651.284851074	656.667419434	642.004638672	2667.86907959	
2271.65039062	648.128723145	682.02331543	686.565612793	660.344665527	2677.06231689	
2271.70019531	604.317321777	622.881591797	655.282897949	672.625793457	2555.10760498	
2271.75024414	619.860961914	598.940856934	628.824645996	618.258178711	2465.88464355	
2271.80029297	642.705200195	616.073730469	617.401245117	629.303588867	2505.48376465	
2271.8503418	620.803344727	653.108032227	617.487670898	620.507751465	2511.90679932	
2271.90039062	621.215576172	635.526062012	583.244628906	617.844482422	2457.83074951	
2271.95019531	580.817138672	624.32611084	625.887084961	576.852416992	2407.88275146	
2272.00024414	547.692199707	572.015319824	620.520568848	540.554016113	2280.78210449	
2272.05029297	573.623413086	601.118530273	575.466430664	529.977478027	2280.18585205	
2272.1003418	590.391784668	586.809936523	577.116516113	562.920166016	2317.23840332	
2272.15039062	546.498413086	551.70501709	551.66229248	554.2734375	2204.13916016	
2272.20019531	546.213378906	520.138793945	538.136474609	511.606567383	2116.09521484	
2272.25024414	570.180358887	519.272033691	579.542114258	541.577331543	2210.57183838	
2272.30029297	553.24822998	555.702636719	573.469238281	535.465942383	2217.88604736	
2272.3503418	531.749938965	539.361694336	501.875549316	579.14074707	2152.12792969	
2272.40039062	517.239074707	525.47454834	500.524475098	534.37890625	2077.61700439	
2272.45019531	540.458618164	532.229553223	505.472045898	524.286132812	2102.4463501	
2272.50024414	547.350158691	519.219055176	528.875732422	516.443237305	2111.88818359	
2272.55029297	536.075378418	517.115966797	506.079681396	515.793334961	2075.06436157	
2272.6003418	560.397521973	519.726379395	521.017272949	495.793914795	2096.93508911	
2272.65039062	514.994567871	532.702880859	526.821655273	497.508666992	2072.027771	
2272.70019531	493.824188232	539.202514648	512.23614502	540.83972168	2086.10256958	
2272.75024414	552.636901855	540.682983398	506.699737549	537.249145508	2137.26876831	
2272.80029297	528.36730957	523.796325684	496.137359619	551.773803711	2100.07479858	
2272.8503418	505.911895752	530.066772461	527.163757324	536.121154785	2099.26358032	
2272.90039062	494.138793945	500.890716553	519.811645508	509.565612793	2024.4067688	
2272.95019531	521.88293457	502.784973145	529.568115234	511.848724365	2066.08474731	
2273.00024414	492.842681885	524.034423828	502.710266113	529.452697754	2049.04006958	
2273.05029297	534.454162598	512.084655762	498.728118896	503.359344482	2048.62628174	
2273.1003418	512.078063965	486.809692383	521.544189453	542.085510254	2062.51745605	
2273.15039062	495.721343994	491.795532227	493.866790771	516.645629883	1998.02929688	
2273.20019531	491.097290039	527.207519531	538.61505127	467.778961182	2024.69882202	
2273.25024414	555.832214355	486.634979248	521.081604004	515.711975098	2079.26077271	
2273.30029297	502.831207275	476.252319336	510.439422607	498.346038818	1987.86898804	
2273.3503418	508.379577637	517.231750488	516.402893066	495.217041016	2037.23126221	
2273.40039062	502.06149292	504.767242432	478.049865723	496.501251221	1981.37985229	
2273.45019531	494.775512695	484.444763184	489.765594482	520.717285156	1989.70315552	
2273.50024414	509.671325684	469.550323486	489.54208374	509.307922363	1978.07165527	
2273.55029297	464.385772705	511.512695312	478.368347168	501.185852051	1955.45266724	
2273.6003418	448.249969482	536.803161621	471.665557861	479.357177734	1936.0758667	
2273.65039062	459.167663574	495.152313232	467.849334717	473.077270508	1895.24658203	
2273.70019531	494.100708008	466.479736328	470.180114746	475.30456543	1906.06512451	
2273.75024414	501.558532715	479.798675537	493.063079834	504.698547363	1979.11883545	
2273.80029297	480.77166748	477.201690674	474.608459473	493.450805664	1926.03262329	
2273.8503418	495.185852051	481.859893799	504.867675781	499.078979492	1980.99240112	
2273.90039062	498.816833496	468.193969727	462.458740234	492.758514404	1922.22805786	
2273.95019531	515.28125	492.342712402	469.578125	456.323150635	1933.52523804	
2274.00024414	500.939605713	488.365020752	455.078948975	486.253692627	1930.63726807	
2274.05029297	480.57510376	470.286193848	499.455352783	483.117431641	1933.43408203	
2274.1003418	476.376617432	454.478942871	529.499267578	431.250396729	1891.60522461	
2274.15039062	459.795715332	460.993865967	483.170562744	458.099090576	1862.05923462	
2274.20019531	453.229980469	450.649353027	461.783416748	480.003814697	1845.66656494	
2274.25024414	468.638916016	498.832550049	472.682342529	465.54901123	1905.70281982	
2274.30029297	479.951141357	505.365936279	478.664398193	484.453582764	1948.43505859	
2274.3503418	480.951599121	495.095489502	466.282958984	477.62600708	1919.95605469	
2274.40039062	504.600219727	495.073394775	484.449066162	473.413269043	1957.53594971	
2274.45019531	464.893737793	452.817016602	477.137756348	502.85043335	1897.69894409	
2274.50024414	435.451812744	468.719268799	479.157592773	487.520355225	1870.84902954	
2274.55029297	480.775238037	456.117614746	505.211456299	457.780822754	1899.88513184	
2274.6003418	530.392333984	485.829650879	473.856994629	449.594909668	1939.67388916	
2274.65039062	480.893554688	484.247070312	457.379547119	439.621490479	1862.1416626	
2274.70019531	460.222991943	462.637664795	467.145385742	418.651947021	1808.6579895	
2274.75024414	427.791259766	439.304046631	433.055328369	467.950195312	1768.10083008	
2274.80029297	486.835784912	442.502227783	457.58795166	513.878051758	1900.80401611	
2274.8503418	490.508758545	467.077911377	470.682281494	500.850708008	1929.11965942	
2274.90039062	498.666992188	467.845031738	489.615692139	446.301452637	1902.4291687	
2274.95019531	450.684295654	467.159698486	466.388580322	483.977874756	1868.21044922	
2275.00024414	458.260406494	446.354156494	441.56262207	499.436309814	1845.61349487	
2275.05029297	495.213195801	496.530975342	428.724578857	496.117553711	1916.58630371	
2275.1003418	452.03237915	478.492279053	477.821594238	449.748016357	1858.0942688	
2275.15039062	450.298309326	452.924194336	468.059143066	466.257202148	1837.53884888	
2275.20019531	445.291107178	481.672088623	447.938262939	430.722930908	1805.62438965	
2275.25024414	455.455810547	453.023529053	466.140441895	467.28414917	1841.90393066	
2275.30029297	471.690338135	451.649932861	490.984985352	477.159545898	1891.48480225	
2275.3503418	446.808319092	448.65411377	496.399200439	442.68862915	1834.55026245	
2275.40039062	452.114379883	429.546142578	503.880767822	491.462463379	1877.00375366	
2275.45019531	458.037780762	480.174133301	443.448181152	447.68661499	1829.34671021	
2275.50024414	441.111694336	443.863067627	451.938018799	488.599884033	1825.51266479	
2275.55029297	414.955718994	459.881164551	468.082275391	444.607574463	1787.5267334	
2275.6003418	428.825469971	493.507843018	471.822570801	420.980529785	1815.13641357	
2275.65039062	454.877685547	467.629760742	462.271972656	445.319366455	1830.0987854	
2275.70019531	472.054901123	488.794403076	450.672485352	465.322601318	1876.84439087	
2275.75024414	452.348175049	424.505645752	449.913543701	485.979034424	1812.74639893	
2275.80029297	470.031524658	450.545227051	469.836425781	468.18737793	1858.60055542	
2275.8503418	469.537902832	468.361175537	477.078033447	485.038208008	1900.01531982	
2275.90039062	492.274688721	452.340484619	467.825195312	468.075744629	1880.51611328	
2275.95019531	454.951263428	472.287872314	516.983337402	489.514007568	1933.73648071	
2275.95019531	454.951263428	472.287872314	516.983337402	489.514007568	1933.73648071	
