Energy	Sweep0	Sweep1	Sum
1199.60009766	4350.359375	4457.92089844	8808.28027344	
1199.65002441	4477.04150391	4430.58691406	8907.62841797	
1199.70007324	4341.99658203	4429.18164062	8771.17822266	
1199.75	4313.00927734	4489.24072266	8802.25	
1199.80004883	4427.67919922	4428.84521484	8856.52441406	
1199.85009766	4419.55029297	4408.89160156	8828.44189453	
1199.90002441	4472.19873047	4474.22607422	8946.42480469	
1199.95007324	4510.2421875	4576.49902344	9086.74121094	
1200.0	4538.44970703	4466.60986328	9005.05957031	
1200.05004883	4459.90869141	4379.55712891	8839.46582031	
1200.10009766	4460.51660156	4391.56152344	8852.078125	
1200.15002441	4445.31982422	4421.28466797	8866.60449219	
1200.20007324	4477.18310547	4473.38769531	8950.57080078	
1200.25	4371.65039062	4476.96044922	8848.61083984	
1200.30004883	4417.18945312	4464.61865234	8881.80810547	
1200.35009766	4455.69970703	4346.97949219	8802.67919922	
1200.40002441	4525.26513672	4390.05371094	8915.31884766	
1200.45007324	4511.42626953	4403.86523438	8915.29150391	
1200.5	4496.65039062	4415.57421875	8912.22460938	
1200.55004883	4382.75244141	4438.12890625	8820.88134766	
1200.60009766	4346.51611328	4439.41699219	8785.93310547	
1200.65002441	4395.47900391	4568.36279297	8963.84179688	
1200.70007324	4398.27587891	4490.22949219	8888.50537109	
1200.75	4466.26611328	4486.61621094	8952.88232422	
1200.80004883	4475.69970703	4494.48388672	8970.18359375	
1200.85009766	4299.62695312	4398.16992188	8697.796875	
1200.90002441	4363.10644531	4333.24365234	8696.35009766	
1200.95007324	4432.89257812	4420.27001953	8853.16259766	
1201.0	4425.62255859	4393.65576172	8819.27832031	
1201.05004883	4377.58203125	4373.42773438	8751.00976562	
1201.10009766	4348.08056641	4447.89550781	8795.97607422	
1201.15002441	4426.68164062	4329.14257812	8755.82421875	
1201.20007324	4575.61181641	4355.01806641	8930.62988281	
1201.25	4444.33154297	4433.60839844	8877.93994141	
1201.30004883	4512.12304688	4372.03564453	8884.15869141	
1201.35009766	4386.79882812	4410.91162109	8797.71044922	
1201.40002441	4351.03076172	4321.40673828	8672.4375	
1201.45007324	4440.75585938	4474.07421875	8914.83007812	
1201.5	4361.94580078	4391.3359375	8753.28173828	
1201.55004883	4375.69775391	4415.16259766	8790.86035156	
1201.60009766	4367.87646484	4345.29589844	8713.17236328	
1201.65002441	4441.20751953	4357.06982422	8798.27734375	
1201.70007324	4320.08105469	4446.53173828	8766.61279297	
1201.75	4382.25439453	4395.08642578	8777.34082031	
1201.80004883	4492.72998047	4438.86816406	8931.59814453	
1201.85009766	4390.30566406	4388.54248047	8778.84814453	
1201.90002441	4433.04199219	4383.49609375	8816.53808594	
1201.95007324	4379.18017578	4419.58935547	8798.76953125	
1202.0	4313.93408203	4398.62060547	8712.5546875	
1202.05004883	4380.73388672	4467.54931641	8848.28320312	
1202.10009766	4405.60986328	4482.60302734	8888.21289062	
1202.15002441	4410.78466797	4486.5390625	8897.32373047	
1202.20007324	4410.47998047	4473.66259766	8884.14257812	
1202.25	4517.94482422	4381.98242188	8899.92724609	
1202.30004883	4364.06982422	4496.3125	8860.38232422	
1202.35009766	4469.76220703	4508.83056641	8978.59277344	
1202.40002441	4455.55517578	4532.12353516	8987.67871094	
1202.45007324	4409.58642578	4541.56933594	8951.15576172	
1202.5	4379.63671875	4380.14990234	8759.78662109	
1202.55004883	4423.84130859	4445.99658203	8869.83789062	
1202.60009766	4386.57666016	4344.40673828	8730.98339844	
1202.65002441	4356.48486328	4387.71630859	8744.20117188	
1202.70007324	4311.48730469	4325.88525391	8637.37255859	
1202.75	4403.07128906	4407.16308594	8810.234375	
1202.80004883	4461.95019531	4459.609375	8921.55957031	
1202.85009766	4467.95898438	4485.26757812	8953.2265625	
1202.90002441	4506.19335938	4437.53808594	8943.73144531	
1202.95007324	4501.64501953	4330.36621094	8832.01123047	
1203.0	4363.67822266	4404.42382812	8768.10205078	
1203.05004883	4426.22070312	4511.24462891	8937.46533203	
1203.10009766	4470.87792969	4353.14257812	8824.02050781	
1203.15002441	4451.61474609	4339.50195312	8791.11669922	
1203.20007324	4456.22265625	4527.97314453	8984.19580078	
1203.25	4355.51367188	4477.83349609	8833.34716797	
1203.30004883	4332.25927734	4434.65136719	8766.91064453	
1203.35009766	4438.24755859	4405.89794922	8844.14550781	
1203.40002441	4330.01708984	4415.8984375	8745.91552734	
1203.45007324	4477.35546875	4368.76806641	8846.12353516	
1203.5	4420.22314453	4343.64697266	8763.87011719	
1203.55004883	4407.63476562	4447.07666016	8854.71142578	
1203.60009766	4512.7890625	4463.63183594	8976.42089844	
1203.65002441	4532.05615234	4447.51611328	8979.57226562	
1203.70007324	4437.65283203	4477.31982422	8914.97265625	
1203.75	4457.41650391	4397.42919922	8854.84570312	
1203.80004883	4399.94287109	4426.80664062	8826.74951172	
1203.85009766	4437.65771484	4412.76904297	8850.42675781	
