Energy	Sweep0	Sweep1	Sum
1878.10021973	2701.97436523	2753.51245117	5455.48681641	
1878.15026855	2817.36767578	2784.09448242	5601.4621582	
1878.20031738	2785.46289062	2771.92236328	5557.38525391	
1878.25024414	2835.45239258	2792.82861328	5628.28100586	
1878.30029297	2912.52368164	2833.9609375	5746.48461914	
1878.35021973	2884.921875	2839.44702148	5724.36889648	
1878.40026855	2781.73120117	2855.75830078	5637.48950195	
1878.45031738	2900.37768555	2875.58569336	5775.96337891	
1878.50024414	2904.27246094	2860.51635742	5764.78881836	
1878.55029297	2790.58520508	2876.32885742	5666.9140625	
1878.60021973	2833.99804688	2850.20947266	5684.20751953	
1878.65026855	2888.84008789	2948.00610352	5836.84619141	
1878.70031738	2898.56274414	2973.20141602	5871.76416016	
1878.75024414	2964.21411133	2941.74169922	5905.95581055	
1878.80029297	2946.81860352	3016.92382812	5963.74243164	
1878.85021973	2880.01049805	2952.296875	5832.30737305	
1878.90026855	2936.22192383	2978.92016602	5915.14208984	
1878.95031738	2829.68041992	2916.20410156	5745.88452148	
1879.00024414	2858.87182617	2956.79125977	5815.66308594	
1879.05029297	2817.36230469	2876.30371094	5693.66601562	
1879.10021973	2838.46777344	2948.22143555	5786.68920898	
1879.15026855	2891.47607422	2964.32519531	5855.80126953	
1879.20031738	2981.22558594	2983.43017578	5964.65576172	
1879.25024414	3057.57568359	3044.72216797	6102.29785156	
1879.30029297	3026.27661133	2993.10498047	6019.3815918	
1879.35021973	3162.62670898	3213.76635742	6376.39306641	
1879.40026855	3203.22607422	3210.49902344	6413.72509766	
1879.45031738	3303.02807617	3299.18603516	6602.21411133	
1879.50024414	3454.15112305	3530.95556641	6985.10668945	
1879.55029297	3577.0078125	3578.18334961	7155.19116211	
1879.60021973	3830.8894043	3774.62548828	7605.51489258	
1879.65026855	3960.01367188	4001.52368164	7961.53735352	
1879.70031738	4093.93994141	4277.99462891	8371.93457031	
1879.75024414	4498.91503906	4540.20117188	9039.11621094	
1879.80029297	4890.55273438	4838.60253906	9729.15527344	
1879.85021973	5226.51806641	5056.49658203	10283.0146484	
1879.90026855	5508.61376953	5419.85205078	10928.4658203	
1879.95031738	5919.93115234	5806.99560547	11726.9267578	
1880.00024414	6107.71191406	6200.44824219	12308.1601562	
1880.05029297	6403.28662109	6579.11914062	12982.4057617	
1880.10021973	6775.07568359	6803.40722656	13578.4829102	
1880.15026855	7293.45166016	7082.75732422	14376.2089844	
1880.20031738	7385.46240234	7431.77441406	14817.2368164	
1880.25024414	7734.88818359	7637.90576172	15372.7939453	
1880.30029297	7943.78076172	7887.38330078	15831.1640625	
1880.35021973	8028.93017578	8004.43310547	16033.3632812	
1880.40026855	8250.76757812	8125.89648438	16376.6640625	
1880.45031738	8181.53857422	8094.71679688	16276.2553711	
1880.50024414	8077.37158203	8128.70263672	16206.0742188	
