Energy	Sweep0	
2113.30029297	2228.46801758	
2113.3503418	2249.41308594	
2113.40039062	2273.07958984	
2113.45019531	2255.01489258	
2113.50024414	2175.25756836	
2113.55029297	2242.05908203	
2113.6003418	2269.95776367	
2113.65039062	2302.98242188	
2113.70019531	2258.87768555	
2113.75024414	2169.01635742	
2113.80029297	2188.91503906	
2113.8503418	2311.61987305	
2113.90039062	2285.1003418	
2113.95019531	2223.65454102	
2114.00024414	2302.49291992	
2114.05029297	2321.27099609	
2114.1003418	2235.58544922	
2114.15039062	2277.66137695	
2114.20019531	2257.18481445	
2114.25024414	2362.6472168	
2114.30029297	2292.40283203	
2114.3503418	2283.18457031	
2114.40039062	2316.484375	
2114.45019531	2384.24194336	
2114.50024414	2241.38598633	
2114.55029297	2240.20385742	
2114.6003418	2293.84545898	
2114.65039062	2275.38085938	
2114.70019531	2277.60864258	
2114.75024414	2244.61621094	
2114.80029297	2318.95532227	
2114.8503418	2268.09179688	
2114.90039062	2267.78051758	
2114.95019531	2338.58251953	
2115.00024414	2310.73022461	
2115.05029297	2275.75415039	
2115.1003418	2260.35180664	
2115.15039062	2287.66064453	
2115.20019531	2288.85424805	
2115.25024414	2333.42431641	
2115.30029297	2328.6081543	
2115.3503418	2293.79199219	
2115.40039062	2296.62792969	
2115.45019531	2329.02026367	
2115.50024414	2306.69287109	
2115.55029297	2242.77246094	
2115.6003418	2222.41064453	
2115.65039062	2353.75390625	
2115.70019531	2333.22558594	
2115.75024414	2281.91772461	
2115.80029297	2353.79931641	
2115.8503418	2343.16503906	
2115.90039062	2298.76489258	
2115.95019531	2359.15209961	
2116.00024414	2338.21606445	
2116.05029297	2263.87670898	
2116.1003418	2339.09765625	
2116.15039062	2301.08837891	
2116.20019531	2325.20776367	
2116.25024414	2269.0456543	
2116.30029297	2325.27026367	
2116.3503418	2344.78149414	
2116.40039062	2418.79418945	
2116.45019531	2352.68164062	
2116.50024414	2392.70019531	
2116.55029297	2360.49829102	
2116.6003418	2343.83496094	
2116.65039062	2367.85913086	
2116.70019531	2319.88134766	
2116.75024414	2314.08569336	
2116.80029297	2339.58935547	
2116.8503418	2369.73828125	
2116.90039062	2361.75097656	
2116.95019531	2396.89550781	
2117.00024414	2354.71972656	
2117.05029297	2324.10766602	
2117.1003418	2402.26391602	
2117.15039062	2328.32397461	
2117.20019531	2367.44067383	
2117.25024414	2422.44506836	
2117.30029297	2337.69018555	
2117.3503418	2364.48876953	
2117.40039062	2426.72973633	
2117.45019531	2375.17480469	
2117.50024414	2358.22949219	
2117.55029297	2425.59594727	
2117.6003418	2432.39257812	
2117.65039062	2401.08105469	
2117.70019531	2366.76123047	
2117.75024414	2346.42138672	
2117.80029297	2338.6015625	
2117.8503418	2372.53100586	
2117.90039062	2409.46606445	
2117.95019531	2385.96875	
2118.00024414	2334.22119141	
2118.05029297	2388.88037109	
2118.1003418	2379.13452148	
2118.15039062	2345.52587891	
2118.20019531	2431.35546875	
2118.25024414	2423.87841797	
2118.30029297	2390.97460938	
2118.3503418	2429.05273438	
2118.40039062	2420.75390625	
2118.45019531	2379.18310547	
2118.50024414	2391.27563477	
2118.55029297	2377.17553711	
2118.6003418	2453.19140625	
2118.65039062	2403.87939453	
2118.70019531	2382.26147461	
2118.75024414	2355.11010742	
2118.80029297	2427.48657227	
2118.8503418	2453.13012695	
2118.90039062	2502.79467773	
2118.95019531	2489.13989258	
2119.00024414	2455.32714844	
2119.05029297	2456.27050781	
2119.1003418	2399.18847656	
2119.15039062	2469.68725586	
2119.20019531	2394.90234375	
2119.25024414	2490.1875	
2119.30029297	2499.86450195	
2119.3503418	2453.29394531	
2119.40039062	2522.92944336	
2119.45019531	2532.20336914	
2119.50024414	2492.8190918	
2119.55029297	2521.26220703	
2119.6003418	2482.9284668	
2119.65039062	2466.11914062	
2119.70019531	2431.18261719	
2119.75024414	2464.20703125	
2119.80029297	2450.85180664	
2119.8503418	2491.5324707	
2119.90039062	2520.35595703	
2119.95019531	2569.86035156	
2120.00024414	2431.43115234	
